City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,-33.65,115.3333,59.14,79,3,5.3
1,Honggang,CN,46.4667,124.8667,-4.45,87,11,9.1
2,Cidreira,BR,-30.1811,-50.2056,71.98,94,96,15.95
3,Jamestown,US,42.097,-79.2353,31.59,89,100,5.75
4,Rikitea,PF,-23.1203,-134.9692,74.7,76,100,9.91
5,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,28.77
6,Paredon,MX,16.0333,-93.8667,84.65,60,20,20.69
7,Broome,US,42.2506,-75.833,33.62,67,75,11.5
8,Airai,TL,-8.9266,125.4092,65.7,63,27,1.32
9,Taft,IR,31.7471,54.2088,46.35,43,20,6.91
10,Bredasdorp,ZA,-34.5322,20.0403,62.55,88,51,7.11
11,Progreso,MX,21.2833,-89.6667,79.09,82,3,18.97
12,Lasa,IT,46.6166,10.7002,38.28,79,95,0.85
13,Berbera,SO,10.4396,45.0143,77.9,79,2,4.18
14,Palmer,US,42.1584,-72.3287,38.75,52,40,20.71
15,Albany,US,42.6001,-73.9662,36.57,59,91,3.0
16,San Jeronimo,PE,-11.9472,-75.2829,60.58,47,14,3.18
17,Lazarev,RU,52.225,141.5131,-13.4,89,9,7.52
18,Mataura,NZ,-46.1927,168.8643,50.49,82,61,8.43
19,Atuona,PF,-9.8,-139.0333,78.01,70,9,20.24
20,Pevek,RU,69.7008,170.3133,16.68,95,98,13.47
21,Saskylakh,RU,71.9167,114.0833,-25.37,100,98,3.56
22,Egvekinot,RU,66.3167,-179.1667,29.43,99,100,11.23
23,Hobyo,SO,5.3505,48.5268,80.06,75,93,15.82
24,Barrow,US,71.2906,-156.7887,23.02,93,100,10.36
25,Qaanaaq,GL,77.484,-69.3632,-25.51,75,3,7.47
26,Sitka,US,57.0531,-135.33,30.09,80,100,10.36
27,Camopi,GF,3.1655,-52.3158,72.81,99,49,2.82
28,Etah,IN,27.6333,78.6667,60.06,46,36,2.04
29,Fushun,CN,41.8558,123.9233,10.11,43,0,5.37
30,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,6.91
31,Port Hardy,CA,50.6996,-127.4199,28.58,74,40,6.91
32,Kapaa,US,22.0752,-159.319,82.72,57,0,12.66
33,Ostrovnoy,RU,68.0531,39.5131,26.13,92,100,11.83
34,Port Lincoln,AU,-34.7333,135.8667,66.94,69,0,10.89
35,Tasiilaq,GL,65.6145,-37.6368,24.04,73,84,7.2
36,Guerrero Negro,MX,27.9769,-114.0611,63.28,63,2,13.33
37,Inongo,CD,-1.95,18.2667,71.02,86,99,4.18
38,Hermanus,ZA,-34.4187,19.2345,60.8,87,40,9.28
39,Ribeira Grande,PT,38.5167,-28.7,57.78,64,74,13.0
40,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5
41,Butaritari,KI,3.0707,172.7902,80.89,78,26,16.71
42,Vaini,TO,-21.2,-175.2,84.36,74,20,5.75
43,Upernavik,GL,72.7868,-56.1549,-1.88,99,86,19.22
44,Katsuura,JP,35.1333,140.3,51.94,69,100,11.61
45,Klaksvik,FO,62.2266,-6.589,50.92,96,100,29.42
46,Kochki,RU,54.3358,80.4806,-6.41,90,42,7.11
47,Bluff,NZ,-46.6,168.3333,50.81,60,59,17.13
48,Kalmunai,LK,7.4167,81.8167,76.3,87,93,2.98
49,Beruwala,LK,6.4788,79.9828,77.18,84,66,0.96
50,Caravelas,BR,-17.7125,-39.2481,75.18,91,100,8.63
51,Hilo,US,19.7297,-155.09,84.27,76,100,9.22
52,Abu Samrah,SY,35.3029,37.1841,53.37,81,1,1.86
53,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,18,3.83
54,Kristiinankaupunki,FI,62.2743,21.376,28.96,92,100,5.12
55,Baillif,GP,16.0202,-61.7463,78.3,78,4,10.31
56,Frontera,MX,26.9333,-101.45,65.32,45,0,3.0
57,Ushuaia,AR,-54.8,-68.3,55.06,50,75,13.8
58,Balikpapan,ID,-1.2675,116.8289,76.19,94,40,5.75
59,Geraldton,AU,-28.7667,114.6,63.01,82,75,3.44
