City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bougouni,11.417,-7.479,75.07,32,31,3.15,ML,2022-12-01 00:57:14
1,Nouadhibou,20.931,-17.0347,64.53,75,4,16.22,MR,2022-12-01 00:55:18
2,Ushuaia,-54.8,-68.3,47.86,57,20,19.57,AR,2022-12-01 00:57:15
3,Waverly,42.7392,-84.6208,29.98,73,100,22.06,US,2022-12-01 00:57:15
4,Busselton,-33.65,115.3333,66.83,68,90,9.13,AU,2022-12-01 00:57:16
5,Norman Wells,65.282,-126.8329,-9.36,77,100,2.3,CA,2022-12-01 00:57:16
6,Glendive,47.1053,-104.7125,20.48,63,100,5.01,US,2022-12-01 00:57:17
7,Hobyo,5.3505,48.5268,78.57,80,88,11.16,SO,2022-12-01 00:57:17
8,Bluff,-46.6,168.3333,50.81,64,40,20.11,NZ,2022-12-01 00:57:17
9,Nikolskoye,59.7035,30.7861,23.81,90,95,3.65,RU,2022-12-01 00:57:18
10,Nishihara,26.1842,127.7558,67.28,78,75,17.27,JP,2022-12-01 00:57:18
11,Victoria,22.2855,114.1577,61.32,74,100,15.01,HK,2022-12-01 00:56:36
12,Mataura,-46.1927,168.8643,50.49,85,98,8.14,NZ,2022-12-01 00:57:19
13,Bethel,41.3712,-73.414,51.96,60,100,1.99,US,2022-12-01 00:57:19
14,Rikitea,-23.1203,-134.9692,73.26,72,72,12.84,PF,2022-12-01 00:55:17
15,Port Moresby,-9.4431,147.1797,87.22,62,40,11.5,PG,2022-12-01 00:57:20
16,Thompson,55.7435,-97.8558,-16.44,69,0,9.22,CA,2022-12-01 00:57:20
17,Mount Isa,-20.7333,139.5,87.57,19,0,12.66,AU,2022-12-01 00:55:35
18,Carnarvon,-24.8667,113.6333,73.53,66,9,8.68,AU,2022-12-01 00:53:21
19,Ayan,56.45,138.1667,-5.21,83,99,23.62,RU,2022-12-01 00:57:21
20,Poum,-20.2333,164.0167,81.88,82,99,15.1,NC,2022-12-01 00:57:22
